                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3801,                0.84462,                 1.1865,                      0,                      0,                      0,                      0,                 3.2213,                 7.5944,                 2.6451,             0.00045365,             0.00045365,             0.00045365
                     72,                 1.3765,                0.82525,                 1.1739,                      0,                      0,                      0,                      0,                 3.9589,                  7.937,                   2.78,             0.00044815,             0.00044815,             0.00044815
                     73,                 1.3702,                0.87872,                 1.1865,                      0,                      0,                      0,                      0,                 2.6149,                  6.832,                 2.3198,             0.00044266,             0.00044266,             0.00044266
                     74,                  1.359,                0.82533,                   1.17,                      0,                      0,                      0,                      0,                 3.1232,                 7.2094,                 2.5813,             0.00043716,             0.00043716,             0.00043716
                     75,                 1.3271,                0.77722,                 1.1536,                      0,                      0,                      0,                      0,                 3.5729,                 5.8086,                 2.3796,             0.00043166,             0.00043166,             0.00043166
                     76,                  1.318,                0.78154,                  1.142,                      0,                      0,                      0,                      0,                 4.0438,                 9.0669,                 2.8253,             0.00042616,             0.00042616,             0.00042616
                     77,                 1.3279,                0.79422,                 1.1615,                      0,                      0,                      0,                      0,                  2.794,                 7.2578,                 2.8617,             0.00042066,             0.00042066,             0.00042066
                     78,                 1.3132,                  0.782,                 1.1474,                      0,                      0,                      0,                      0,                 3.0363,                  8.951,                  2.596,             0.00041517,             0.00041517,             0.00041517
                     79,                 1.3041,                0.77073,                 1.1341,                      0,                      0,                      0,                      0,                 4.4607,                  9.197,                 2.6785,             0.00040967,             0.00040967,             0.00040967
                     80,                 1.2915,                0.76704,                 1.1403,                      0,                      0,                      0,                      0,                 3.0818,                 9.8203,                 2.6061,             0.00040417,             0.00040417,             0.00040417
                     81,                 1.3079,                0.76289,                 1.1408,                      0,                      0,                      0,                      0,                 2.0932,                 3.9356,                 1.2238,             0.00039867,             0.00039867,             0.00039867
                     82,                 1.2815,                0.75034,                 1.1379,                      0,                      0,                      0,                      0,                  3.799,                 7.7195,                 2.7823,             0.00039318,             0.00039318,             0.00039318
                     83,                  1.251,                0.74147,                 1.1196,                      0,                      0,                      0,                      0,                 3.9396,                 11.487,                 2.8837,             0.00038768,             0.00038768,             0.00038768
                     84,                 1.2622,                0.75665,                 1.1322,                      0,                      0,                      0,                      0,                 3.8965,                 9.5393,                 2.8796,             0.00038218,             0.00038218,             0.00038218
                     85,                 1.2581,                0.74259,                 1.1174,                      0,                      0,                      0,                      0,                 3.0663,                 9.0234,                 2.0545,             0.00037668,             0.00037668,             0.00037668
                     86,                 1.2237,                0.71807,                 1.1004,                      0,                      0,                      0,                      0,                 2.9825,                 13.148,                 2.7168,             0.00037118,             0.00037118,             0.00037118
                     87,                 1.2532,                0.73226,                  1.111,                      0,                      0,                      0,                      0,                 2.6952,                 11.156,                 1.7512,             0.00036569,             0.00036569,             0.00036569
                     88,                 1.2269,                0.72941,                 1.1105,                      0,                      0,                      0,                      0,                 4.4902,                 8.9188,                 2.8852,             0.00036019,             0.00036019,             0.00036019
